species_name,occurrence_no,accepted_name,phylum,class,order,family,genus,lat,lng,diet,life_habit,environment,taxon_environment,primary_name,era_early,era_late
sp. A,358074,Quadratirhynchia,Brachiopoda,Rhynchonellata,Rhynchonellida,Tetrarhynchiidae,Quadratirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Quadratirhynchia,Jurassic,No especificado
rudis,358075,Rudirhynchia rudis,Brachiopoda,Rhynchonellata,Rhynchonellida,Cyclothyrididae,Rudirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Rudirhynchia,Jurassic,No especificado
alata,358076,Weyla alata,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
titan,358077,Weyla titan,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
textoria,358078,Chlamys textoria,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Chlamys,Jurassic,No especificado
auricularis,358079,Nanogyra auricularis,Mollusca,Bivalvia,Ostreida,Gryphaeidae,Nanogyra,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Nanogyra,Jurassic,No especificado
dumortieri,358080,Gryphaea (Gryphaea) dumortieri,Mollusca,Bivalvia,Ostreida,Gryphaeidae,Gryphaea (Gryphaea),-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Gryphaea,Jurassic,No especificado
subpunctata,358081,Lobothyris punctata,Brachiopoda,Rhynchonellata,Terebratulida,Lobothyrididae,Lobothyris,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Lobothyris,Jurassic,No especificado
longistriatum,358082,Actinostreon,Mollusca,Bivalvia,Ostreida,Palaeolophidae,Actinostreon,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Actinostreon,Jurassic,No especificado
sp.,358083,Natica,Mollusca,Gastropoda,Sorbeoconcha,Naticidae,Natica,-28.950001,-70.283333,carnivore,semi-infaunal,open shallow subtidal,,Natica,Jurassic,No especificado
sp. A,358084,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
sp.,358085,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
sp. A,358086,Quadratirhynchia,Brachiopoda,Rhynchonellata,Rhynchonellida,Tetrarhynchiidae,Quadratirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Quadratirhynchia,Jurassic,No especificado
rudis,358087,Rudirhynchia rudis,Brachiopoda,Rhynchonellata,Rhynchonellida,Cyclothyrididae,Rudirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Rudirhynchia,Jurassic,No especificado
alata,358088,Weyla alata,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
titan,358089,Weyla titan,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
auricularis,358090,Nanogyra auricularis,Mollusca,Bivalvia,Ostreida,Gryphaeidae,Nanogyra,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Nanogyra,Jurassic,No especificado
subpunctata,358091,Lobothyris punctata,Brachiopoda,Rhynchonellata,Terebratulida,Lobothyrididae,Lobothyris,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Lobothyris,Jurassic,No especificado
irregularis,358092,Microphyllia,Cnidaria,Anthozoa,Scleractinia,Latomeandridae,Microphyllia,-28.950001,-70.283333,"photosymbiotic, suspension feeder","colonial, clonal",open shallow subtidal,marine,Microphyllia,Jurassic,No especificado
sp.,358093,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
sp. A,358094,Quadratirhynchia,Brachiopoda,Rhynchonellata,Rhynchonellida,Tetrarhynchiidae,Quadratirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Quadratirhynchia,Jurassic,No especificado
rudis,358095,Rudirhynchia rudis,Brachiopoda,Rhynchonellata,Rhynchonellida,Cyclothyrididae,Rudirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Rudirhynchia,Jurassic,No especificado
alata,358096,Weyla alata,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
titan,358097,Weyla titan,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
textoria,358098,Chlamys textoria,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Chlamys,Jurassic,No especificado
dumortieri,358099,Gryphaea (Gryphaea) dumortieri,Mollusca,Bivalvia,Ostreida,Gryphaeidae,Gryphaea (Gryphaea),-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Gryphaea,Jurassic,No especificado
subpunctata,358100,Lobothyris punctata,Brachiopoda,Rhynchonellata,Terebratulida,Lobothyrididae,Lobothyris,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Lobothyris,Jurassic,No especificado
longistriatum,358101,Actinostreon,Mollusca,Bivalvia,Ostreida,Palaeolophidae,Actinostreon,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Actinostreon,Jurassic,No especificado
bulimoides,358102,Natica,Mollusca,Gastropoda,Sorbeoconcha,Naticidae,Natica,-28.950001,-70.283333,carnivore,semi-infaunal,open shallow subtidal,,Natica,Jurassic,No especificado
sp.,358103,Plagiostoma,Mollusca,Bivalvia,Pectinida,Limidae,Plagiostoma,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Plagiostoma,Jurassic,No especificado
sp.,358104,Quadratirhynchia,Brachiopoda,Rhynchonellata,Rhynchonellida,Tetrarhynchiidae,Quadratirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Quadratirhynchia,Jurassic,No especificado
rudis,358105,Rudirhynchia rudis,Brachiopoda,Rhynchonellata,Rhynchonellida,Cyclothyrididae,Rudirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Rudirhynchia,Jurassic,No especificado
alata,358106,Weyla alata,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
titan,358107,Weyla titan,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
textoria,358108,Chlamys textoria,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Chlamys,Jurassic,No especificado
auricularis,358109,Nanogyra auricularis,Mollusca,Bivalvia,Ostreida,Gryphaeidae,Nanogyra,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,"marine,brackish",Nanogyra,Jurassic,No especificado
subpunctata,358110,Lobothyris punctata,Brachiopoda,Rhynchonellata,Terebratulida,Lobothyrididae,Lobothyris,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Lobothyris,Jurassic,No especificado
sp.,358111,Montlivaltia,Cnidaria,Anthozoa,Scleractinia,Thecosmiliidae,Montlivaltia,-28.950001,-70.283333,"microcarnivore, photosymbiotic",solitary,open shallow subtidal,marine,Montlivaltia,Jurassic,No especificado
sp. A,358112,Quadratirhynchia,Brachiopoda,Rhynchonellata,Rhynchonellida,Tetrarhynchiidae,Quadratirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Quadratirhynchia,Jurassic,No especificado
rudis,358113,Rudirhynchia rudis,Brachiopoda,Rhynchonellata,Rhynchonellida,Cyclothyrididae,Rudirhynchia,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Rudirhynchia,Jurassic,No especificado
alata,358114,Weyla (Weyla) alata,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla (Weyla),-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
titan,358115,Weyla titan,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
unca,358116,Weyla (Lywea) unca,Mollusca,Bivalvia,Pectinida,Neitheidae,Weyla (Lywea),-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Weyla,Jurassic,No especificado
liasica,358117,Chaetetes (Pseudoseptifer) liasica,Porifera,Demospongiae,Hadromerida,Suberitidae,Chaetetes (Pseudoseptifer),-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Andenipora,Jurassic,No especificado
textoria,358118,Chlamys textoria,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys,-28.950001,-70.283333,suspension feeder,epifaunal,open shallow subtidal,marine,Chlamys,Jurassic,No especificado
wrighti,358119,Ctenostreon rugosum,Mollusca,Bivalvia,Pectinida,Limidae,Ctenostreon,-28.950001,-70.283333,suspension feeder,low-level epifaunal,open shallow subtidal,marine,Ctenostreon,Jurassic,No especificado
