species_name,occurrence_no,accepted_name,phylum,class,order,family,genus,lat,lng,diet,life_habit,environment,taxon_environment,primary_name,era_early,era_late
elliottii,1275306,Herkosporites elliottii,Lycopodiophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Herkosporites,-63.868889,-57.989723,,,delta plain,,Herkosporites,Cretaceous,Cretaceous
annulatus,1275307,Cyatheacidites annulatus,Pteridophyta,Polypodiopsida,NO_ORDER_SPECIFIED,Dicksoniaceae,Cyatheacidites,-63.868889,-57.989723,,,delta plain,,Cyatheacidites,Cretaceous,Cretaceous
volkheimeri,1275308,Ischyosporites volkheimeri,Pteridophyta,Pteridopsida,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Ischyosporites,-63.868889,-57.989723,,,delta plain,,Ischyosporites,Cretaceous,Cretaceous
sp. A,1275309,Ornamentifera,Pteridophyta,Polypodiopsida,NO_ORDER_SPECIFIED,Gleicheniaceae,Ornamentifera,-63.868889,-57.989723,,,delta plain,,Ornamentifera,Cretaceous,Cretaceous
velatus,1275310,Densoisporites velatus,Lycopodiophyta,Lycopodiopsida,Selaginellales,NO_FAMILY_SPECIFIED,Densoisporites,-63.868889,-57.989723,,,delta plain,,Densoisporites,Cretaceous,Cretaceous
spp.,1275311,,,,,,,-63.868889,-57.989723,,,delta plain,,Nyssapollenties,Cretaceous,Cretaceous
sp.1,1275312,Dryadopollis,Magnoliophyta,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Dryadopollis,-63.868889,-57.989723,,,delta plain,,Dryadopollis,Cretaceous,Cretaceous
sp.1,1275313,Proteacidites,Angiospermae,NO_CLASS_SPECIFIED,Proteales,Proteaceae,Proteacidites,-63.868889,-57.989723,"""photoautotroph""",,delta plain,,Proteacidites,Cretaceous,Cretaceous
mallatus,1275314,Rugulatisporites mallatus,Pteridophyta,Polypodiopsida,NO_ORDER_SPECIFIED,Osmundaceae,Rugulatisporites,-63.868889,-57.989723,,,delta plain,,Rugulatisporites,Cretaceous,Cretaceous
sp.1,1275315,Tricolporites,Spermatophyta,Magnoliopsida,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Tricolporites,-63.868889,-57.989723,,,delta plain,,Tricolporites,Cretaceous,Cretaceous
sp.2,1275316,Proteacidites,Angiospermae,NO_CLASS_SPECIFIED,Proteales,Proteaceae,Proteacidites,-63.868889,-57.989723,"""photoautotroph""",,delta plain,,Proteacidites,Cretaceous,Cretaceous
microverrucatus,1275317,Stoverisporites microverrucatus,Bryophyta,Marchantiopsida,NO_ORDER_SPECIFIED,Marchantiidae,Stoverisporites,-63.868889,-57.989723,,,delta plain,,Stoverisporites,Cretaceous,Cretaceous
minor,1275318,Triorites minor,Angiospermae,Dicotyledoneae,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Triorites,-63.868889,-57.989723,"""photoautotroph""",,delta plain,,Triorites,Cretaceous,Cretaceous
ambigens,1275319,Camarozonosporites ambigens,Lycopodiophyta,Lycopodiopsida,Selaginellales,NO_FAMILY_SPECIFIED,Camarozonosporites,-63.868889,-57.989723,,,delta plain,,Camarozonosporites,Cretaceous,Cretaceous
sp.2,1275320,Dryadopollis,Magnoliophyta,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Dryadopollis,-63.868889,-57.989723,,,delta plain,,Dryadopollis,Cretaceous,Cretaceous
striatoconus,1275321,Conosphaeridium,Dinozoa,Dinophyceae,Gonyaulacales,Hystrichosphaeridiaceae,Conosphaeridium,-63.868889,-57.989723,,,delta plain,,Conosphaeridium,Cretaceous,Cretaceous
heteracanthum,1275322,Heterosphaeridium heteracanthum,Dinozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Heterosphaeridium,-63.868889,-57.989723,,,delta plain,,Heterosphaeridium,Cretaceous,Cretaceous
spp.,1275323,Operculodinium,Dinozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Operculodinium,-63.868889,-57.989723,,,delta plain,,Operculodinium,Cretaceous,Cretaceous
infusorioides,1275324,Palaeohystrichophora infusorioides,Dinozoa,Dinophyceae,Peridiniales,Peridiniaceae,Palaeohystrichophora,-63.868889,-57.989723,,,delta plain,,Palaeohystrichophora,Cretaceous,Cretaceous
sp.2,1275325,Trithyrodinium,Dinozoa,Dinophyceae,Peridiniales,Peridiniaceae,Trithyrodinium,-63.868889,-57.989723,,,delta plain,,Trithyrodinium,Cretaceous,Cretaceous
spp.,1275326,Xenascus,Dinozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Xenascus,-63.868889,-57.989723,,,delta plain,,Xenascus,Cretaceous,Cretaceous
eurypteris,1275327,Pterospermella,Prasinophyta,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Pterospermella,-63.868889,-57.989723,,,delta plain,,Pterospermella,Cretaceous,Cretaceous
cribropoda,1275328,Odontochitina cribropoda,Dinozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Odontochitina,-63.868889,-57.989723,,,delta plain,,Odontochitina,Cretaceous,Cretaceous
de algas inc. sedis,1275329,,,,,,,-63.868889,-57.989723,,,delta plain,,Colonia,Cretaceous,Cretaceous
sp.,1275330,Odontochitina,Dinozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Odontochitina,-63.868889,-57.989723,,,delta plain,,Odontochitina,Cretaceous,Cretaceous
sp.,1275331,Cyclonephelium,Dinozoa,Dinophyceae,Gonyaulacales,Areoligeraceae,Cyclonephelium,-63.868889,-57.989723,,,delta plain,,Cyclonephelium,Cretaceous,Cretaceous
coronatum,1275332,Stephodinium coronatum,Dinozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Stephodinium,-63.868889,-57.989723,,,delta plain,,Stephodinium,Cretaceous,Cretaceous
mawsonii,1275359,Phyllocladidites mawsonii,Pinophyta,NO_CLASS_SPECIFIED,Coniferales,Podocarpaceae,Phyllocladidites,-63.868889,-57.989723,,,delta plain,,Phyllocladidites,Cretaceous,Cretaceous
antarcticus,1275360,Microcachryidites antarcticus,Pinophyta,NO_CLASS_SPECIFIED,Coniferales,Podocarpaceae,Microcachryidites,-63.868889,-57.989723,,,delta plain,,Microcachryidites,Cretaceous,Cretaceous
triplex,1275361,Clavifera triplex,Pteridophyta,Polypodiopsida,NO_ORDER_SPECIFIED,Gleicheniaceae,Clavifera,-63.868889,-57.989723,,,delta plain,,Clavifera,Cretaceous,Cretaceous
elliottii,1275362,Herkosporites elliottii,Lycopodiophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Herkosporites,-63.868889,-57.989723,,,delta plain,,Herkosporites,Cretaceous,Cretaceous
annulatus,1275363,Cyatheacidites annulatus,Pteridophyta,Polypodiopsida,NO_ORDER_SPECIFIED,Dicksoniaceae,Cyatheacidites,-63.868889,-57.989723,,,delta plain,,Cyatheacidites,Cretaceous,Cretaceous
volkheimeri,1275364,Ischyosporites volkheimeri,Pteridophyta,Pteridopsida,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Ischyosporites,-63.868889,-57.989723,,,delta plain,,Ischyosporites,Cretaceous,Cretaceous
sp. A,1275365,Ornamentifera,Pteridophyta,Polypodiopsida,NO_ORDER_SPECIFIED,Gleicheniaceae,Ornamentifera,-63.868889,-57.989723,,,delta plain,,Ornamentifera,Cretaceous,Cretaceous
velatus,1275366,Densoisporites velatus,Lycopodiophyta,Lycopodiopsida,Selaginellales,NO_FAMILY_SPECIFIED,Densoisporites,-63.868889,-57.989723,,,delta plain,,Densoisporites,Cretaceous,Cretaceous
spp.,1275367,,,,,,,-63.868889,-57.989723,,,delta plain,,Nyssapollenties,Cretaceous,Cretaceous
sp.1,1275368,Dryadopollis,Magnoliophyta,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Dryadopollis,-63.868889,-57.989723,,,delta plain,,Dryadopollis,Cretaceous,Cretaceous
sp.1,1275369,Proteacidites,Angiospermae,NO_CLASS_SPECIFIED,Proteales,Proteaceae,Proteacidites,-63.868889,-57.989723,"""photoautotroph""",,delta plain,,Proteacidites,Cretaceous,Cretaceous
mallatus,1275370,Rugulatisporites mallatus,Pteridophyta,Polypodiopsida,NO_ORDER_SPECIFIED,Osmundaceae,Rugulatisporites,-63.868889,-57.989723,,,delta plain,,Rugulatisporites,Cretaceous,Cretaceous
sp.1,1275371,Tricolporites,Spermatophyta,Magnoliopsida,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Tricolporites,-63.868889,-57.989723,,,delta plain,,Tricolporites,Cretaceous,Cretaceous
